Month,Primary Energy Consumed by the Residential Sector,Electricity Sales to Ultimate Customers in the Residential Sector,End-Use Energy Consumed by the Residential Sector,Residential Sector Electrical System Energy Losses,Total Energy Consumed by the Residential Sector,Primary Energy Consumed by the Commercial Sector,Electricity Sales to Ultimate Customers in the Commercial Sector,End-Use Energy Consumed by the Commercial Sector,Commercial Sector Electrical System Energy Losses,Total Energy Consumed by the Commercial Sector,Primary Energy Consumed by the Industrial Sector,Electricity Sales to Ultimate Customers in the Industrial Sector,End-Use Energy Consumed by the Industrial Sector,Industrial Sector Electrical System Energy Losses,Total Energy Consumed by the Industrial Sector
2005 febrero,977.203,363.948,1341.151,751.376,2092.527,518.62,318.192,836.812,656.913,1493.725,1738.345,269.326,2007.672,556.029,2563.701
2005 marzo,893.424,355.07,1248.494,765.282,2013.776,479.526,337.528,817.054,727.472,1544.526,1894.264,283.826,2178.09,611.729,2789.819
2005 abril,541.645,295.988,837.633,626.794,1464.426,322.444,322.228,644.672,682.359,1327.031,1736.509,281.112,2017.622,595.292,2612.914
2005 mayo,392.372,298.155,690.526,686.533,1377.059,247.222,340.182,587.404,783.305,1370.709,1800.91,292.927,2093.837,674.497,2768.334
2005 junio,283.471,397.933,681.404,892.119,1573.523,208.801,389.312,598.113,872.791,1470.904,1802.767,300.368,2103.136,673.391,2776.527
2005 julio,250.214,492.953,743.167,1101.889,1845.057,197.614,416.39,614.004,930.75,1544.754,1759.418,301.572,2060.99,674.099,2735.089
2005 agosto,245.025,501.239,746.264,1092.989,1839.254,200.112,424.576,624.688,925.82,1550.508,1833.78,308.909,2142.688,673.598,2816.287
2005 septiembre,243.425,431.671,675.097,875.941,1551.038,194.322,397.556,591.878,806.714,1398.592,1649.269,297.718,1946.987,604.124,2551.111
2005 octubre,354.234,350.364,704.599,722.405,1427.003,238.675,370.115,608.79,763.127,1371.917,1701.971,292.941,1994.912,604.005,2598.918
2005 noviembre,560.281,312.835,873.115,687.92,1561.036,324.809,337.103,661.912,741.286,1403.199,1739.712,284.944,2024.656,626.588,2651.244
2005 diciembre,1011.261,410.045,1421.306,928.885,2350.191,530.766,353.248,884.014,800.222,1684.236,1807.009,283.108,2090.117,641.333,2731.451
2006 enero,920.66,410.869,1331.529,862.146,2193.675,500.002,347.797,847.798,729.798,1577.596,1826.923,279.322,2106.245,586.115,2692.36
2006 febrero,913.847,356.592,1270.439,753.213,2023.652,494.194,326.573,820.767,689.807,1510.574,1661.855,273.667,1935.522,578.055,2513.577
2006 marzo,823.399,358.107,1181.506,758.132,1939.638,449.806,345.006,794.812,730.396,1525.208,1817.88,284.097,2101.977,601.448,2703.425
2006 abril,497.257,304.944,802.201,654.716,1456.917,296.466,329.433,625.899,707.292,1333.19,1695.805,278.748,1974.553,598.472,2573.025
2006 mayo,328.762,320.728,649.49,725.656,1375.146,226.595,363.18,589.775,821.705,1411.48,1774.393,294.043,2068.436,665.28,2733.715
2006 junio,248.303,405.398,653.701,894.532,1548.233,193.903,395.06,588.963,871.721,1460.684,1783.729,295.581,2079.31,652.216,2731.526
2006 julio,221.709,502.718,724.427,1113.041,1837.468,180.603,428.347,608.949,948.378,1557.327,1751.141,303.258,2054.399,671.428,2725.827
2006 agosto,215.4,512.02,727.42,1093.985,1821.405,186.047,435.558,621.605,930.616,1552.221,1864.6,308.052,2172.652,658.185,2830.837
2006 septiembre,236.522,396.038,632.56,781.116,1413.676,193.211,389.755,582.966,768.723,1351.689,1807.224,294.674,2101.898,581.193,2683.091
2006 octubre,373.739,328.392,702.132,695.563,1397.695,255.851,371.908,627.759,787.734,1415.493,1852.398,291.172,2143.57,616.727,2760.297
2006 noviembre,563.137,323.604,886.741,704.971,1591.712,331.298,344.966,676.264,751.508,1427.772,1811.044,275.188,2086.232,599.498,2685.73
2006 diciembre,812.888,391.976,1204.864,865.707,2070.571,439.611,357.144,796.755,788.779,1585.534,1807.799,272.746,2080.545,602.379,2682.923
2007 enero,1022.341,427.477,1449.818,947.666,2397.484,529.776,363.949,893.725,806.834,1700.558,1857.011,281.096,2138.107,623.157,2761.264
2007 febrero,1122.794,414.436,1537.23,851.251,2388.481,578.637,343.781,922.418,706.125,1628.544,1740.457,267.473,2007.93,549.389,2557.318
2007 marzo,810.243,360.631,1170.873,763.414,1934.287,448.529,350.208,798.737,741.351,1540.088,1802.231,281.771,2084.002,596.478,2680.48
2007 abril,549.349,308.042,857.391,656.808,1514.199,325.451,344.787,670.238,735.155,1405.392,1743.647,284.429,2028.076,606.46,2634.536
2007 mayo,323.623,328.879,652.501,726.755,1379.256,222.279,370.403,592.682,818.515,1411.197,1791.424,297.667,2089.091,657.782,2746.873
2007 junio,239.167,400.629,639.796,878.346,1518.141,188.659,400.405,589.064,877.854,1466.918,1723.817,298.796,2022.612,655.085,2677.698
2007 julio,219.074,474.36,693.434,1033.186,1726.62,176.728,422.826,599.553,920.94,1520.494,1747.62,303.727,2051.347,661.537,2712.883
2007 agosto,220.828,512.146,732.974,1129.903,1862.877,185.309,445.18,630.488,982.161,1612.649,1788.023,314.297,2102.32,693.406,2795.726
2007 septiembre,227.761,441.895,669.656,875.634,1545.29,185.508,409.093,594.601,810.636,1405.237,1740.552,298.303,2038.855,591.1,2629.955
2007 octubre,306.016,354.008,660.024,729.599,1389.622,225.61,390.61,616.22,805.033,1421.253,1787.207,303.313,2090.52,625.117,2715.636
2007 noviembre,584.36,327.227,911.587,694.8,1606.388,343.189,356.906,700.096,757.818,1457.913,1749.659,290.423,2040.081,616.654,2656.735
2007 diciembre,964.938,400.596,1365.534,894.474,2260.008,513.025,361.36,874.385,806.866,1681.251,1811.854,285.668,2097.522,637.857,2735.379
2008 enero,1145.208,455.053,1600.261,973.874,2574.135,597.24,372.117,969.357,796.38,1765.737,1892.935,283.506,2176.44,606.74,2783.18
2008 febrero,1059.69,404.505,1464.195,820.259,2284.454,571.902,356.202,928.104,722.31,1650.414,1745.841,278.024,2023.866,563.78,2587.646
2008 marzo,864.272,365.638,1229.91,775.227,2005.137,476.272,352.578,828.85,747.536,1576.385,1779.426,284.895,2064.321,604.035,2668.356
2008 abril,543.573,314.47,858.043,664.358,1522.401,328.585,346.275,674.86,731.55,1406.41,1708.416,285.569,1993.985,603.301,2597.286
2008 mayo,358.021,314.742,672.763,699.704,1372.467,240.667,366.7,607.366,815.211,1422.578,1735.115,300.13,2035.245,667.22,2702.465
2008 junio,258.106,414.134,672.241,924.508,1596.749,193.563,407.301,600.863,909.252,1510.116,1677.259,297.608,1974.866,664.375,2639.241
2008 julio,230.161,488.527,718.688,1064.526,1783.214,186.039,436.982,623.02,952.205,1575.226,1715.335,302.053,2017.389,658.19,2675.579
2008 agosto,219.439,472.425,691.864,1010.943,1702.808,182.396,423.756,606.152,906.795,1512.947,1681.788,302.139,1983.927,646.548,2630.475
2008 septiembre,229.987,399.471,629.457,797.35,1426.808,185.301,403.602,588.902,805.596,1394.498,1510.443,293.126,1803.569,585.085,2388.654
2008 octubre,358.251,327.929,686.181,685.037,1371.217,251.869,378.219,630.089,790.091,1420.18,1771.724,287.168,2058.892,599.888,2658.781
2008 noviembre,607.267,326.755,934.022,710.326,1644.348,354.019,349.439,703.458,759.637,1463.095,1642.959,271.386,1914.345,589.959,2504.304
2008 diciembre,1016.781,427.167,1443.948,942.307,2386.255,532.291,365.718,898.01,806.755,1704.764,1592.955,258.864,1851.819,571.04,2422.858
2009 enero,1193.633,464.813,1658.446,994.644,2653.09,637.027,374.102,1011.129,800.535,1811.664,1649.671,255.842,1905.513,547.472,2452.985
2009 febrero,958.004,393.104,1351.108,774.376,2125.484,526.447,337.824,864.271,665.481,1529.752,1500.825,243.474,1744.298,479.619,2223.917
2009 marzo,790.963,363.383,1154.345,757.746,1912.091,454.432,349.587,804.019,728.979,1532.997,1567.425,253.072,1820.497,527.72,2348.217
2009 abril,540.24,312.646,852.885,651.989,1504.874,324.574,340.532,665.105,710.143,1375.248,1466.354,250.492,1716.846,522.375,2239.221
2009 mayo,319.558,321.793,641.351,713.283,1354.634,225.882,358.983,584.865,795.717,1380.582,1481.298,256.415,1737.713,568.366,2306.078
2009 junio,245.754,390.316,636.07,867.016,1503.087,189.278,391.807,581.086,870.328,1451.413,1501.432,258.222,1759.654,573.593,2333.248
2009 julio,226.488,469.143,695.631,986.697,1682.328,187.096,413.954,601.05,870.624,1471.674,1527.427,267.47,1794.897,562.539,2357.436
2009 agosto,221.244,471.616,692.86,992.438,1685.298,189.528,422.326,611.854,888.716,1500.57,1576.4,280.464,1856.864,590.19,2447.054
2009 septiembre,235.905,392.937,628.842,767.438,1396.281,195.974,392.04,588.014,765.685,1353.699,1558.98,272.494,1831.474,532.202,2363.677
2009 octubre,391.531,336.26,727.79,676.939,1404.729,266.725,370.249,636.974,745.363,1382.337,1602.099,271.086,1873.185,545.735,2418.92
2009 noviembre,525.295,317.411,842.707,674.722,1517.429,322.103,337.451,659.555,717.32,1376.875,1585.523,258.079,1843.602,548.6,2392.201
2009 diciembre,990.179,423.133,1413.313,931.195,2344.507,536.727,370.126,906.853,814.541,1721.394,1652.07,263.115,1915.186,579.042,2494.227
2010 enero,1173.864,503.27,1677.133,1044.906,2722.039,618.43,368.907,987.337,765.938,1753.275,1688.448,257.773,1946.221,535.197,2481.418
2010 febrero,1013.918,419.131,1433.049,845.581,2278.63,549.46,343.749,893.209,693.501,1586.709,1594.311,253.139,1847.449,510.698,2358.148
2010 marzo,751.929,381.427,1133.357,767.994,1901.351,419.388,347.176,766.564,699.029,1465.593,1760.352,267.225,2027.576,538.05,2565.627
2010 abril,442.45,300.414,742.864,607.663,1350.527,276.856,340.485,617.341,688.715,1306.056,1651.758,268.253,1920.011,542.608,2462.619
2010 mayo,320.743,323.604,644.347,733.641,1377.988,223.444,362.259,585.703,821.275,1406.979,1655.633,280.173,1935.806,635.178,2570.984
2010 junio,251.123,435.016,686.139,956.074,1642.213,193.694,407.342,601.036,895.251,1496.287,1664.697,284.423,1949.12,625.102,2574.222
2010 julio,220.746,527.798,748.544,1120.883,1869.427,177.456,436.477,613.933,926.944,1540.877,1675.938,292.558,1968.496,621.305,2589.801
2010 agosto,211.883,525.63,737.513,1097.221,1834.734,181.525,440.716,622.24,919.966,1542.207,1762.475,300.007,2062.482,626.246,2688.728
2010 septiembre,219.797,425.076,644.873,831.492,1476.365,184.365,406.494,590.859,795.144,1386.003,1721.179,284.526,2005.705,556.561,2562.266
2010 octubre,336.526,329.9,666.426,658.024,1324.449,252.895,370.068,622.963,738.145,1361.108,1676.477,280.059,1956.536,558.611,2515.148
2010 noviembre,614.54,317.883,932.423,679.625,1612.048,364.485,346.383,710.868,740.557,1451.425,1680.485,271.643,1952.127,580.764,2532.892
2010 diciembre,1084.526,443.607,1528.133,977.307,2505.44,580.839,368.586,949.424,812.027,1761.452,1796.81,274.029,2070.838,603.71,2674.549
2011 enero,1191.842,494.95,1686.792,1014.172,2700.964,637.13,369.351,1006.481,756.814,1763.296,1806.204,273.277,2079.48,559.955,2639.435
2011 febrero,964.492,409.815,1374.307,805.81,2180.117,531.072,340.502,871.574,669.522,1541.096,1598.101,260.545,1858.645,512.302,2370.948
2011 marzo,766.315,357.994,1124.31,744.225,1868.535,445.542,355.725,801.267,739.508,1540.774,1790.261,280.497,2070.759,583.119,2653.877
2011 abril,468.213,319.71,787.923,665.749,1453.672,293.951,342.927,636.878,714.095,1350.973,1640.972,274.213,1915.185,571.008,2486.194
2011 mayo,310.854,333.315,644.169,721.657,1365.826,217.271,367.215,584.485,795.053,1379.538,1666.636,279.991,1946.626,606.204,2552.831
2011 junio,236.829,429.853,666.682,920.293,1586.975,191.254,403.197,594.45,863.222,1457.673,1655.798,286.306,1942.104,612.966,2555.07
2011 julio,216.266,527.935,744.202,1144.798,1889,185.169,436.959,622.128,947.522,1569.65,1669.204,297.687,1966.891,645.518,2612.41
2011 agosto,224.41,524.557,748.966,1076.61,1825.576,201.558,441.405,642.963,905.949,1548.911,1765.624,303.625,2069.249,623.166,2692.414
2011 septiembre,238.508,418.719,657.227,797.523,1454.75,206.622,402.45,609.072,766.535,1375.607,1687.542,289.825,1977.367,552.021,2529.388
2011 octubre,363.633,322.724,686.358,649.925,1336.282,280.148,370.712,650.86,746.566,1397.426,1736.84,287.569,2024.41,579.127,2603.536
2011 noviembre,595.311,318.068,913.379,669.534,1582.913,369.324,343.085,712.409,722.194,1434.603,1755.026,275.937,2030.962,580.847,2611.809
2011 diciembre,897.632,396.956,1294.588,841.845,2136.433,505.24,357.803,863.043,758.812,1621.856,1734.987,272.897,2007.884,578.748,2586.632
2012 enero,989.638,429.508,1419.145,869.324,2288.469,550.138,359.077,909.215,726.771,1635.986,1818.136,270.246,2088.383,546.979,2635.362
2012 febrero,830.092,368.412,1198.504,724.438,1922.942,474.906,341.473,816.379,671.467,1487.846,1711.967,267.154,1979.121,525.326,2504.447
2012 marzo,543.901,339.022,882.923,672.374,1555.297,337.916,349.643,687.559,693.437,1380.996,1722.417,277.39,1999.807,550.14,2549.946
2012 abril,395.883,300.608,696.491,593.817,1290.308,269.792,344.737,614.529,680.989,1295.519,1647.117,276.473,1923.59,546.142,2469.732
2012 mayo,267.952,344.254,612.207,727.849,1340.055,207.502,378.051,585.553,799.305,1384.858,1716.508,288.92,2005.428,610.857,2616.285
2012 junio,220.468,419.451,639.919,868.808,1508.728,187.272,402.648,589.92,834.004,1423.924,1684.745,285.308,1970.053,590.958,2561.011
2012 julio,203.15,527.424,730.574,1105.566,1836.14,179.834,438.562,618.397,919.298,1537.695,1707.972,297.592,2005.564,623.801,2629.365
2012 agosto,209.704,504.775,714.478,1008.139,1722.617,195.955,437.099,633.055,872.977,1506.031,1760.034,300.613,2060.647,600.386,2661.033
2012 septiembre,215.581,405.453,621.034,774.723,1395.757,196.458,397.788,594.246,760.078,1354.324,1666.493,279.988,1946.482,534.991,2481.473
2012 octubre,351.676,329.836,681.512,648.005,1329.516,271.365,376.927,648.292,740.521,1388.813,1792.129,283.181,2075.31,556.345,2631.656
2012 noviembre,623.387,331.494,954.88,679.574,1634.454,379.314,346.798,726.112,710.949,1437.061,1758.939,269.027,2027.966,551.515,2579.481
2012 diciembre,833.586,389.608,1223.194,828.979,2052.172,472.099,355.265,827.364,755.907,1583.271,1796.561,267.363,2063.924,568.875,2632.799
2013 enero,1100.62,449.65,1550.27,905.195,2455.465,591.589,367.57,959.16,739.96,1699.12,1854.168,274.685,2128.853,552.97,2681.823
2013 febrero,955.937,385.945,1341.882,745.852,2087.734,532.133,344.665,876.799,666.078,1542.877,1666.843,261.673,1928.517,505.693,2434.21
2013 marzo,861.392,382.474,1243.866,770.726,2014.591,490.76,354.887,845.647,715.134,1560.782,1747.832,274.579,2022.411,553.305,2575.716
2013 abril,518.288,325.985,844.273,644.044,1488.318,323.895,345.96,669.854,683.507,1353.361,1686.157,273.699,1959.855,540.742,2500.597
2013 mayo,312.58,324.794,637.374,675.085,1312.459,227.332,370.825,598.157,770.761,1368.918,1756.665,289.668,2046.334,602.077,2648.41
2013 junio,226.967,402.555,629.522,839.421,1468.943,184.762,400.604,585.366,835.354,1420.72,1705.618,287.188,1992.806,598.853,2591.659
2013 julio,211.726,490.832,702.558,1005.018,1707.576,184.132,434.384,618.516,889.435,1507.95,1790.095,296.458,2086.553,607.021,2693.575
2013 agosto,214.549,471.078,685.627,948.916,1634.543,191.049,433.54,624.589,873.301,1497.89,1769.047,299.595,2068.642,603.49,2672.132
2013 septiembre,228.184,414.282,642.467,792.218,1434.685,197.446,404.007,601.453,772.569,1374.022,1788.268,283.281,2071.55,541.709,2613.258
2013 octubre,342.054,337.423,679.477,659.125,1338.602,261.662,381.825,643.487,745.861,1389.348,1851.276,283.127,2134.403,553.062,2687.465
2013 noviembre,674.106,334.049,1008.154,697.31,1705.464,416.896,352.748,769.644,736.344,1505.988,1859.702,271.703,2131.405,567.167,2698.571
2013 diciembre,1043.565,440.032,1483.597,921.498,2405.096,560.729,371.097,931.826,777.138,1708.964,1907.511,266.365,2173.876,557.811,2731.687
2014 enero,1272.039,499.897,1771.936,1036.458,2808.394,678.81,388.511,1067.32,805.515,1872.836,1914.782,273.468,2188.25,566.993,2755.242
2014 febrero,1068.47,438.358,1506.828,844.448,2351.276,593.404,356.051,949.455,685.894,1635.348,1692.857,257.31,1950.167,495.68,2445.847
2014 marzo,903.989,389.762,1293.752,792.601,2086.353,518.243,364.974,883.217,742.194,1625.411,1759.326,274.799,2034.125,558.818,2592.943
2014 abril,492.683,314.893,807.575,616.595,1424.17,314.232,349.59,663.822,684.537,1348.358,1747.605,274.684,2022.289,537.863,2560.152
2014 mayo,334.686,326.62,661.305,678.185,1339.49,242.428,374.179,616.607,776.935,1393.542,1733.538,291.327,2024.865,604.903,2629.768
2014 junio,240.154,402.783,642.938,835.7,1478.637,200.504,404.058,604.562,838.344,1442.906,1702.594,292.446,1995.041,606.771,2601.812
2014 julio,224.264,467.539,691.803,954.069,1645.872,193.847,427.981,621.828,873.346,1495.174,1792.567,301.679,2094.246,615.611,2709.858
2014 agosto,216.568,463.451,680.019,936.2,1616.219,193.589,428.557,622.147,865.713,1487.859,1799.752,306.426,2106.178,619,2725.178
2014 septiembre,247.346,411.969,659.315,769.228,1428.544,212.654,409.607,622.26,764.816,1387.077,1785.985,291.689,2077.674,544.641,2622.315
2014 octubre,356.317,334.505,690.821,640.645,1331.466,273.176,385.635,658.811,738.57,1397.38,1847.383,290,2137.383,555.41,2692.792
2014 noviembre,728.224,339.445,1067.669,706.249,1773.918,447.992,355.686,803.677,740.038,1543.716,1812.016,276.523,2088.538,575.332,2663.871
2014 diciembre,923.048,412.172,1335.219,829.572,2164.792,521.94,368.736,890.676,742.149,1632.825,1875.125,273.378,2148.503,550.224,2698.727
2015 enero,1177.963,470.054,1648.017,932.824,2580.841,673.473,380.846,1054.319,755.791,1810.11,1907.187,271.626,2178.813,539.043,2717.856
2015 febrero,1124.653,422.534,1547.188,830.112,2377.299,646.548,359.906,1006.454,707.072,1713.527,1726.398,261.867,1988.264,514.464,2502.728
2015 marzo,820.842,399.774,1220.616,752.201,1972.817,502.827,367.8,870.628,692.04,1562.667,1815.232,271.967,2087.2,511.724,2598.924
2015 abril,452.69,307.76,760.45,583.86,1344.31,323.04,355.421,678.461,674.278,1352.739,1740.959,274.627,2015.586,521.003,2536.59
2015 mayo,298.907,324.688,623.594,666.731,1290.326,248.284,373.292,621.576,766.538,1388.114,1786.35,282.909,2069.259,580.939,2650.198
2015 junio,219.504,410.463,629.966,836.202,1466.168,211.268,406.95,618.218,829.045,1447.263,1780.541,294.175,2074.716,599.298,2674.014
2015 julio,207.401,498.283,705.683,1006.896,1712.579,213.38,438.457,651.837,886.003,1537.84,1845.074,299.394,2144.468,604.995,2749.463
2015 agosto,207.34,493.086,700.426,965.886,1666.312,217.699,438.507,656.205,858.973,1515.179,1830.166,301.529,2131.695,590.653,2722.348
2015 septiembre,210.078,427.922,637.999,796.634,1434.633,217.157,416.931,634.087,776.173,1410.26,1731.991,289.1,2021.091,538.199,2559.291
2015 octubre,359.484,338.979,698.463,629.49,1327.953,305.264,384.947,690.211,714.854,1405.064,1744.251,284.045,2028.296,527.477,2555.773
2015 noviembre,587.959,316.216,904.176,621.509,1525.685,400.962,355.326,756.289,698.378,1454.667,1708.568,267.824,1976.391,526.395,2502.787
2015 diciembre,798.932,381.02,1179.951,742.819,1922.771,481.463,364.502,845.965,710.618,1556.582,1811.415,266.902,2078.317,520.34,2598.656
2016 enero,1091.214,446.876,1538.09,886.347,2424.437,634.714,376.721,1011.435,747.199,1758.633,1880.771,269.029,2149.8,533.6,2683.399
2016 febrero,874.471,395.654,1270.125,732.969,2003.094,535.642,352.977,888.619,653.908,1542.528,1806.966,261.866,2068.832,485.12,2553.951
2016 marzo,609.862,341.973,951.835,637.717,1589.552,406.366,360.782,767.148,672.793,1439.94,1831.988,270.358,2102.346,504.168,2606.514
2016 abril,462.512,301.09,763.602,578.437,1342.039,329.037,348.178,677.215,668.901,1346.116,1711.367,268.343,1979.71,515.525,2495.235
2016 mayo,312.791,321.404,634.194,643.852,1278.046,262.415,369.987,632.401,741.176,1373.577,1732.503,278.049,2010.552,557.001,2567.553
2016 junio,219.228,427.221,646.449,864.749,1511.197,218.53,410.679,629.209,831.267,1460.476,1722.091,285.489,2007.58,577.866,2585.446
2016 julio,205.109,526.845,731.953,1063.35,1795.303,217.019,443.691,660.71,895.517,1556.227,1766.368,297.105,2063.473,599.657,2663.13
2016 agosto,192.332,533.778,726.11,1024.344,1750.455,219.527,460.684,680.212,884.073,1564.285,1856.752,304.011,2160.763,583.411,2744.173
2016 septiembre,211.284,441.386,652.671,806.021,1458.692,225.591,421.358,646.949,769.446,1416.395,1755.482,284.081,2039.563,518.763,2558.326
2016 octubre,314.691,346.345,661.036,648.737,1309.772,287.605,385.429,673.034,721.944,1394.979,1814.92,278.41,2093.33,521.488,2614.818
2016 noviembre,526.48,318.149,844.628,608.866,1453.494,384.244,358.464,742.708,686.021,1428.729,1791.722,267.574,2059.296,512.077,2571.373
2016 diciembre,1010.646,413.81,1424.456,844.935,2269.391,601.057,375.907,976.964,767.542,1744.507,1897.868,268.239,2166.107,547.701,2713.808
2017 enero,1040.955,440.873,1481.828,863.167,2344.994,610.977,373.574,984.552,731.405,1715.957,1888.023,268.897,2156.92,526.461,2683.381
2017 febrero,743.245,344.504,1087.749,642.71,1730.459,467.504,339.971,807.476,634.255,1441.731,1673.336,254.309,1927.646,474.442,2402.088
2017 marzo,749.887,351.762,1101.648,689.725,1791.374,485.515,365.674,851.188,717.003,1568.192,1878.166,274.769,2152.936,538.76,2691.695
2017 abril,408.718,309.552,718.27,591.364,1309.634,306.337,350.034,656.371,668.7,1325.072,1769.346,269.202,2038.547,514.28,2552.828
2017 mayo,313.786,335.335,649.122,667.742,1316.864,265.974,374.884,640.858,746.494,1387.351,1815.919,283.655,2099.573,564.833,2664.406
2017 junio,229.954,418.117,648.071,815.577,1463.648,224.552,409.485,634.037,798.739,1432.776,1796.768,291.38,2088.148,568.364,2656.512
2017 julio,202.973,511.46,714.434,1006.629,1721.063,213.171,441.092,654.263,868.133,1522.396,1848.445,299.595,2148.039,589.646,2737.685
2017 agosto,204.809,484.528,689.337,908.602,1597.94,221.374,438.377,659.751,822.058,1481.809,1840.201,304.127,2144.328,570.308,2714.636
2017 septiembre,215.284,405.273,620.557,742.144,1362.701,225.519,405.307,630.827,742.207,1373.033,1769.918,285.039,2054.957,521.969,2576.926
2017 octubre,324.946,350.791,675.738,659.863,1335.601,292.106,386.536,678.642,727.101,1405.743,1847.136,282.565,2129.701,531.525,2661.226
2017 noviembre,628.225,335.47,963.695,654.549,1618.244,431.902,358.168,790.07,698.837,1488.908,1901.825,271.102,2172.927,528.96,2701.887
2017 diciembre,1035.711,416.28,1451.991,844.588,2296.578,623.676,372.95,996.627,756.677,1753.304,1943.649,273.785,2217.434,555.481,2772.915
2018 enero,1248.444,508.106,1756.55,981.554,2738.104,703.608,392.125,1095.733,757.503,1853.236,2000.638,272.584,2273.222,526.575,2799.797
2018 febrero,886.623,388.119,1274.743,704.124,1978.866,539.456,350.363,889.819,635.626,1525.445,1770.224,258.156,2028.38,468.345,2496.725
2018 marzo,856.11,365.829,1221.939,692.582,1914.521,535.818,368.866,904.684,698.331,1603.014,1968.497,276.553,2245.05,523.565,2768.615
2018 abril,610.981,325.688,936.669,612.845,1549.514,407.127,352.567,759.694,663.424,1423.117,1813.525,269.833,2083.357,507.743,2591.1
2018 mayo,293.2,354.329,647.53,711.486,1359.016,251.145,386.155,637.3,775.39,1412.69,1883.026,292.196,2175.222,586.723,2761.944
2018 junio,229.119,443.263,672.382,864.274,1536.656,223.579,416.302,639.881,811.706,1451.588,1849.47,291.85,2141.32,569.049,2710.368
2018 julio,215.113,523.967,739.08,1014.472,1753.552,218.712,448.752,667.463,868.844,1536.307,1910.517,304.696,2215.213,589.933,2805.146
2018 agosto,205.192,523.73,728.922,973.656,1702.578,222.756,460.102,682.857,855.366,1538.223,1989.624,314.265,2303.889,584.244,2888.133
2018 septiembre,221.399,439.84,661.239,796.65,1457.889,225.739,416.378,642.117,754.155,1396.272,1858.313,292.337,2150.649,529.488,2680.137
2018 octubre,410.42,365.25,775.671,654.061,1429.732,340.799,396.247,737.046,709.568,1446.614,1982.122,291.046,2273.168,521.182,2794.35
2018 noviembre,800.206,354.131,1154.338,698.053,1852.39,507.042,358.202,865.245,706.077,1571.322,1925.845,276.776,2202.621,545.572,2748.193
2018 diciembre,1006.238,420.292,1426.53,813.717,2240.247,600.502,368.489,968.992,713.424,1682.416,1933.85,274.005,2207.855,530.494,2738.349
2019 enero,1215.192,454.879,1670.072,866.99,2537.062,699.918,382.186,1082.104,728.438,1810.542,2058.678,281.864,2340.542,537.227,2877.77
2019 febrero,1034.977,397.867,1432.844,723.585,2156.428,599.851,348.266,948.117,633.378,1581.495,1777.259,260.838,2038.097,474.376,2512.473
2019 marzo,906.206,384.21,1290.416,712.639,2003.054,551.062,366.681,917.743,680.127,1597.871,1925.716,276.689,2202.405,513.207,2715.612
2019 abril,485.576,308.39,793.966,568.134,1362.099,345.913,349.546,695.458,643.954,1339.412,1842.853,274.529,2117.382,505.753,2623.135
2019 mayo,351.348,342.33,693.678,662.785,1356.462,277,379.418,656.418,734.591,1391.009,1902.197,288.864,2191.061,559.27,2750.332
2019 junio,248.776,409.836,658.612,775.87,1434.482,229.235,394.922,624.157,747.635,1371.792,1831.904,289.993,2121.896,548.991,2670.888
2019 julio,230.791,524.591,755.383,979.076,1734.459,227.013,446.806,673.819,833.902,1507.721,1908.089,309.646,2217.735,577.912,2795.647
2019 agosto,230.818,512.083,742.902,935.422,1678.324,234.158,446.208,680.367,815.088,1495.455,1947.002,310.703,2257.705,567.561,2825.266
2019 septiembre,223.321,448.906,672.227,794.171,1466.398,222.628,416.466,639.094,736.781,1375.875,1870.567,293.979,2164.546,520.086,2684.632
2019 octubre,376.57,368.486,745.056,629.818,1374.874,310.284,393.42,703.705,672.435,1376.139,1957.666,287.96,2245.626,492.181,2737.807
2019 noviembre,797.535,349.569,1147.104,662.058,1809.162,511.265,350.89,862.155,664.559,1526.714,1951.818,271.679,2223.497,514.54,2738.037
2019 diciembre,988.942,413.118,1402.06,761.897,2163.957,592.162,368.501,960.663,679.611,1640.274,1995.548,273.283,2268.831,504.005,2772.836
2020 enero,1035.09,424.597,1459.687,768.518,2228.204,627.259,374.679,1001.939,678.167,1680.106,2013.471,275.036,2288.507,497.814,2786.321
2020 febrero,926.925,382.563,1309.489,688.907,1998.396,572.812,351.486,924.299,632.945,1557.244,1888.423,269.216,2157.639,484.796,2642.434
2020 marzo,697.697,355.718,1053.414,627.154,1680.568,454.508,355.223,809.73,626.281,1436.011,1941.479,276.135,2217.614,486.845,2704.459
2020 abril,530.014,333.554,863.568,585.774,1449.342,334.965,311.876,646.842,547.704,1194.546,1616.772,248.363,1865.135,436.165,2301.3
2020 mayo,375.939,360.583,736.522,681.566,1418.088,263.144,321.749,584.893,608.162,1193.054,1684.977,253.42,1938.396,479.007,2417.404
2020 junio,244.443,448.808,693.251,839.509,1532.76,220.331,373.93,594.261,699.449,1293.71,1686.459,267.653,1954.112,500.654,2454.766
2020 julio,217.915,570.173,788.088,1043.341,1831.429,213.97,433.691,647.661,793.596,1441.257,1800.216,289.196,2089.411,529.19,2618.601
2020 agosto,205.964,542.3,748.265,992.888,1741.152,214.68,419.87,634.55,768.732,1403.282,1845.961,294.681,2140.642,539.526,2680.169
2020 septiembre,233.624,436.135,669.759,740.242,1410.001,232.711,386.306,619.016,655.668,1274.684,1785.222,276.293,2061.515,468.946,2530.461
