Month,Primary Energy Consumed by the Residential Sector,Electricity Sales to Ultimate Customers in the Residential Sector,End-Use Energy Consumed by the Residential Sector,Residential Sector Electrical System Energy Losses,Total Energy Consumed by the Residential Sector,Primary Energy Consumed by the Commercial Sector,Electricity Sales to Ultimate Customers in the Commercial Sector,End-Use Energy Consumed by the Commercial Sector,Commercial Sector Electrical System Energy Losses,Total Energy Consumed by the Commercial Sector,Primary Energy Consumed by the Industrial Sector,Electricity Sales to Ultimate Customers in the Industrial Sector,End-Use Energy Consumed by the Industrial Sector,Industrial Sector Electrical System Energy Losses,Total Energy Consumed by the Industrial Sector
1994 enero,1216.717,354.089,1570.805,796.963,2367.769,611.87,256.533,868.403,577.39,1445.793,2005.811,274.574,2280.385,617.995,2898.38
1994 febrero,1073.82,305.954,1379.774,625.345,2005.119,556.499,241.62,798.119,493.852,1291.972,1842.848,266.004,2108.852,543.692,2652.544
1994 marzo,839.968,272.689,1112.657,609.164,1721.821,456.055,241.292,697.347,539.025,1236.372,1866.332,275.487,2141.819,615.413,2757.232
1994 abril,554.184,237.141,791.325,517.654,1308.979,320.666,236.71,557.377,516.714,1074.091,1797.151,275.701,2072.852,601.827,2674.68
1994 mayo,398.731,229.183,627.914,536.14,1164.055,242.952,241.7,484.652,565.421,1050.072,1756.214,285.426,2041.639,667.711,2709.35
1994 junio,288.894,286.919,575.813,691.027,1266.84,208.167,277.415,485.582,668.138,1153.72,1782.703,296.482,2079.185,714.059,2793.244
1994 julio,256.988,353.489,610.477,811.878,1422.355,201.935,297.189,499.123,682.569,1181.693,1831.689,296.358,2128.047,680.662,2808.709
1994 agosto,261.634,330.087,591.721,760.931,1352.653,197.52,293.058,490.578,675.57,1166.148,1872.662,306.272,2178.935,706.033,2884.968
1994 septiembre,269.662,291.21,560.872,601.534,1162.406,192.465,278.061,470.526,574.373,1044.899,1857.274,298.925,2156.199,617.47,2773.669
1994 octubre,380.844,244.647,625.491,535.136,1160.627,241.73,257,498.731,562.158,1060.889,1934.645,294.495,2229.14,644.172,2873.312
1994 noviembre,572.484,242.559,815.043,544.291,1359.334,328.396,242.952,571.348,545.173,1116.521,1847.624,286.02,2133.644,641.817,2775.461
1994 diciembre,863.656,292.973,1156.629,659.879,1816.508,458.4,251.987,710.387,567.564,1277.95,1939.395,283.488,2222.883,638.516,2861.399
1995 enero,1048.848,329.506,1378.354,729.313,2107.667,542.349,261.048,803.396,577.79,1381.186,1904.337,279.051,2183.389,617.638,2801.027
1995 febrero,978.568,295.858,1274.425,610.959,1885.385,523.961,248.134,772.095,512.408,1284.503,1799.349,270.587,2069.936,558.775,2628.711
1995 marzo,799.454,271.169,1070.623,601.101,1671.724,440.706,251.286,691.992,557.025,1249.016,1878.412,282.998,2161.41,627.322,2788.732
